guid,Letter,Layout,"Blank layout"
gIZ|.O_GsR,a,"<img src=""colemak_layout_a.svg""/>","<img src=""colemak_blank_a.svg""/>"
iH9Bf?|>Dy,b,"<img src=""colemak_layout_b.svg""/>","<img src=""colemak_blank_b.svg""/>"
m`:93ZH{.B,c,"<img src=""colemak_layout_c.svg""/>","<img src=""colemak_blank_c.svg""/>"
mQ|)/8`c@9,d,"<img src=""colemak_layout_d.svg""/>","<img src=""colemak_blank_d.svg""/>"
r<h+OJ%RA=,e,"<img src=""colemak_layout_e.svg""/>","<img src=""colemak_blank_e.svg""/>"
seK~E_4ImZ,f,"<img src=""colemak_layout_f.svg""/>","<img src=""colemak_blank_f.svg""/>"
d1(lHQ_BhQ,g,"<img src=""colemak_layout_g.svg""/>","<img src=""colemak_blank_g.svg""/>"
voW&2e$#..,h,"<img src=""colemak_layout_h.svg""/>","<img src=""colemak_blank_h.svg""/>"
"eH;P,2x7_C",i,"<img src=""colemak_layout_i.svg""/>","<img src=""colemak_blank_i.svg""/>"
j~M5^3cJiu,j,"<img src=""colemak_layout_j.svg""/>","<img src=""colemak_blank_j.svg""/>"
qY]7)~xl^-,k,"<img src=""colemak_layout_k.svg""/>","<img src=""colemak_blank_k.svg""/>"
njT;83txR5,l,"<img src=""colemak_layout_l.svg""/>","<img src=""colemak_blank_l.svg""/>"
k-l;^WAH$6,m,"<img src=""colemak_layout_m.svg""/>","<img src=""colemak_blank_m.svg""/>"
c1n#RW=>+7,n,"<img src=""colemak_layout_n.svg""/>","<img src=""colemak_blank_n.svg""/>"
rCr/tWe9[0,o,"<img src=""colemak_layout_o.svg""/>","<img src=""colemak_blank_o.svg""/>"
h?2PJIc{x:,p,"<img src=""colemak_layout_p.svg""/>","<img src=""colemak_blank_p.svg""/>"
lvothn{4Y,q,"<img src=""colemak_layout_q.svg""/>","<img src=""colemak_blank_q.svg""/>"
vko/@KmnlQ,r,"<img src=""colemak_layout_r.svg""/>","<img src=""colemak_blank_r.svg""/>"
tVV+K./W/C,s,"<img src=""colemak_layout_s.svg""/>","<img src=""colemak_blank_s.svg""/>"
iK+rXI:r)M,t,"<img src=""colemak_layout_t.svg""/>","<img src=""colemak_blank_t.svg""/>"
fH>:MrV.Y%,u,"<img src=""colemak_layout_u.svg""/>","<img src=""colemak_blank_u.svg""/>"
qx>*$0>=F:,v,"<img src=""colemak_layout_v.svg""/>","<img src=""colemak_blank_v.svg""/>"
hm3s.PkXt8,w,"<img src=""colemak_layout_w.svg""/>","<img src=""colemak_blank_w.svg""/>"
cLydi3E/j8,x,"<img src=""colemak_layout_x.svg""/>","<img src=""colemak_blank_x.svg""/>"
"s!LQB,XaZp",y,"<img src=""colemak_layout_y.svg""/>","<img src=""colemak_blank_y.svg""/>"
re@2R!<bR-,z,"<img src=""colemak_layout_z.svg""/>","<img src=""colemak_blank_z.svg""/>"
c/|*54%cX,semicolon,"<img src=""colemak_layout_semicolon.svg""/>","<img src=""colemak_blank_semicolon.svg""/>"
